emp_id,full_name,age,salary,city,join_date,email,department
1201,Priya Patel,191,140893,mumbai,Jan 2022,priyapatel@yahoo.com,SALES
1029,Vikram Singh,unknown,32314.00,Surat,Jan 2022,vikram.singh@GMAIL.COM,it
1102,Karan Joshi,172,,Bangalore,,invalid_email,IT
1056,Priya Patel,NA,135823,Chennai,02/19/2023,priyapatel@yahoo.com,IT
1186,Rahul Sharma,,NaN,Chennai,Jan 2022,rahul.sharma@gmail.com,Marketing
1222,Pooja Reddy,NA,146955,Chennai,2022,,Marketing
1242,Sara Khan,unknown,102960,mumbai,10/10/2023,sara.khan@GMAIL.COM,sales
1291,Rahul Sharma,N/A,,Surat,01/28/2022,,it
1171,Pooja Reddy,unknown,₹87944,delhi,Jan 2022,pooja.reddy@gmail.com,Sales
1213,Rahul Sharma,38,86160,bangalore,2022,rahul.sharma@gmail.com,it
1275,Anjali Desai,187,32941,pune ,08-04-2021,,Sales
1189,Arjun Mehta,N/A,119232,pune ,2023-05-18,arjun.mehta@GMAIL.COM,HR
1246,Arjun Mehta,21 yrs,-131370,Delhi,2022,,it
1164,Priya Patel,NA,106863.00,Mumbai,06/26/2022,invalid_email,SALES
1333,Karan Joshi,N/A,66867.00,Pune,Jan 2022,,Marketing
1187,Amit Kumar,189,131006.00,Mumbai,Jan 2022,,SALES
1384,Rahul Sharma,51 yrs,NaN,Mumbai,,invalid_email,Sales
1139,Vikram Singh,18,NaN,mumbai,2021-02-23,vikram.singh@gmail.com,Marketing
1236,Priya Patel,unknown,₹50399,Pune,2022-06-01,priya.patel@GMAIL.COM,sales
1078,Anjali Desai,N/A,65219.00,Surat,2022,invalid_email,SALES
1376,Arjun Mehta,N/A,₹84990,MUMBAI,Jan 2022,,sales
1318,Priya Patel,N/A,-125133,delhi,2023-03-12,priya.patel@gmail.com,Marketing
1005,Neha Gupta,47 yrs,30454.00,MUMBAI,Jan 2022,,marketing 
1065,Rahul Sharma,,128307,MUMBAI,2021-01-19,invalid_email,sales
1004,Neha Gupta,,-85762, Surat,Jan 2022,invalid_email,it
1080,Arjun Mehta,N/A,-92650,Mumbai,Jan 2022,,it
1146,Pooja Reddy,unknown,52195.00,pune ,2022,pooja.reddy@GMAIL.COM,it
1270,Sara Khan,26,79991.00,Chennai,2021-12-24,sarakhan@yahoo.com,it
1395,Rahul Sharma,54 yrs,28464,Delhi,27-11-2021,rahulsharma@yahoo.com,SALES
1369,Arjun Mehta,46 yrs,140993,Bengaluru,07/09/2022,,SALES
1058,Sara Khan,189,66409,bangalore,06/04/2021,sara.khan@gmail.com, HR
1017,Sara Khan,,,Delhi,,sarakhan@yahoo.com,it
1119,Karan Joshi,N/A,₹147323,bangalore,2021-11-20,,marketing 
1106,Amit Kumar,33 yrs,60121,Chennai,01-01-2022,amitkumar@yahoo.com,IT
1373,Sara Khan,22,NaN,MUMBAI,2022-05-13,sara.khan@GMAIL.COM,HR
1092,Karan Joshi,50 yrs,101742.00, Surat,Jan 2022,,Sales
1067,Vikram Singh,43,₹131327,Mumbai,02-01-2023,vikram.singh@gmail.com, HR
1107,Rahul Sharma,,138397.00,delhi,08/13/2021,rahul.sharma@gmail.com,HR
1191,Arjun Mehta,NA,,delhi,Jan 2022,,it
1006,Amit Kumar,unknown,₹109049,mumbai,2022-10-06,invalid_email,Sales
1365,Amit Kumar,25 yrs,15262.00,mumbai,,amit.kumar@GMAIL.COM,SALES
1062,Neha Gupta,NA,,Bengaluru,10/17/2021,nehagupta@yahoo.com,it
1232,Pooja Reddy,43 yrs,₹123459,Bengaluru,2022,,IT
1353,Vikram Singh,N/A,-114589,Mumbai,15-11-2022,,sales
1372,Arjun Mehta,unknown,38331.00,bangalore,2022-11-14,arjun.mehta@GMAIL.COM,sales
1117,Priya Patel,,NaN,bangalore,06-01-2023,priya.patel@GMAIL.COM,Sales
